web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715292345-1","https://infinitediscs.com/brand/axiom","Tempo","https://infinitediscs.com/axiom-tempo","Tempo","Axiom","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","4.0/4.0/0.0/2.5","4/3.9/-0.1/2.3","(5 Reviews)","4.5"
"1715292352-2","https://infinitediscs.com/brand/axiom","Proxy","https://infinitediscs.com/axiom-proxy","Proxy","Axiom","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Everyone","3.0/3.0/-1.0/0.5","3/3.2/-0.9/0.6","(84 Reviews)","4.81"
"1715292363-3","https://infinitediscs.com/brand/axiom","Pixel","https://infinitediscs.com/axiom-pixel","Pixel","Axiom","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/0.5","2/4/0/0.5","(6 Reviews)","4.5"
"1715292373-4","https://infinitediscs.com/brand/axiom","Pitch","https://infinitediscs.com/axiom-pitch","Pitch","Axiom","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","1.0/7.0/-0.5/0.0","1/7/-0.5/0","(1 Reviews)","4"
"1715292382-5","https://infinitediscs.com/brand/axiom","Envy","https://infinitediscs.com/axiom-envy","Envy","Axiom","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","2.9/3.1/-0.1/1.9","(244 Reviews)","4.87"
"1715292397-6","https://infinitediscs.com/brand/axiom","Theory","https://infinitediscs.com/axiom-theory","Theory","Axiom","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Beginner, Everyone","4.0/4.0/-1.5/1.0","4.6/4.6/-1.8/0.8","(31 Reviews)","4.48"
"1715292415-7","https://infinitediscs.com/brand/axiom","Pyro","https://infinitediscs.com/axiom-pyro","Pyro","Axiom","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/4.0/0.0/2.5","5.1/3.9/0/2.8","(61 Reviews)","4.61"
"1715292423-8","https://infinitediscs.com/brand/axiom","Paradox","https://infinitediscs.com/axiom-paradox","Paradox","Axiom","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner","5.0/4.0/-4.0/0.0","5/4.1/-3.9/0.1","(41 Reviews)","4.56"
"1715292431-9","https://infinitediscs.com/brand/axiom","Hex","https://infinitediscs.com/axiom-hex","Hex","Axiom","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/1.0","5/5/-0.9/1","(80 Reviews)","4.84"
"1715292439-10","https://infinitediscs.com/brand/axiom","Alias","https://infinitediscs.com/axiom-alias","Alias","Axiom","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Beginner, Everyone","4.0/4.0/-1.0/1.0","4.2/4.2/-0.9/1","(21 Reviews)","4.19"
"1715292445-11","https://infinitediscs.com/brand/axiom","Wrath","https://infinitediscs.com/axiom-wrath","Wrath","Axiom","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","9.0/4.5/-0.5/2.0","10/4.5/-0.6/2.2","(34 Reviews)","4.21"
