web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715292863-1","https://infinitediscs.com/brand/clash-discs","Popcorn","https://infinitediscs.com/clash-discs-popcorn","Popcorn","Clash Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","2.9/3.2/0/1.1","(7 Reviews)","4.86"
"1715292867-2","https://infinitediscs.com/brand/clash-discs","Mint","https://infinitediscs.com/clash-discs-mint","Mint","Clash Discs","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","4/3.3/0/2.8","(13 Reviews)","4.77"
"1715292871-3","https://infinitediscs.com/brand/clash-discs","Fudge","https://infinitediscs.com/clash-discs-fudge","Fudge","Clash Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2/3/0/2","(0 Reviews)","0"
"1715292875-4","https://infinitediscs.com/brand/clash-discs","Candy","https://infinitediscs.com/clash-discs-candy","Candy","Clash Discs","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","3.0/3.0/-1.0/1.0","3/3/-1/1","(1 Reviews)","4.5"
"1715292879-5","https://infinitediscs.com/brand/clash-discs","Butter","https://infinitediscs.com/clash-discs-butter","Butter","Clash Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/0/0.9","(3 Reviews)","4.67"
"1715292883-6","https://infinitediscs.com/brand/clash-discs","Peppermint","https://infinitediscs.com/clash-discs-peppermint","Peppermint","Clash Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/2.0/0.0/4.0","4/2.1/0/3.9","(4 Reviews)","5"
"1715292887-7","https://infinitediscs.com/brand/clash-discs","Peach","https://infinitediscs.com/clash-discs-peach","Peach","Clash Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","4.0/5.0/-2.0/1.0","4/5/-1.9/1","(5 Reviews)","4.8"
"1715292894-8","https://infinitediscs.com/brand/clash-discs","Mango","https://infinitediscs.com/clash-discs-mango","Mango","Clash Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","5.0/4.0/0.0/4.0","5/4.2/0/3.6","(10 Reviews)","4.65"
"1715292898-9","https://infinitediscs.com/brand/clash-discs","Guava","https://infinitediscs.com/clash-discs-clashkiwi","Guava","Clash Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level:","5.0/4.0/0.0/3.0","5/4/0/2.9","(1 Reviews)","4"
"1715292902-10","https://infinitediscs.com/brand/clash-discs","Cherry","https://infinitediscs.com/clash-discs-cherry","Cherry","Clash Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/1.0","5/5/-1/1","(1 Reviews)","4"
"1715292906-11","https://infinitediscs.com/brand/clash-discs","Berry","https://infinitediscs.com/clash-discs-berry","Berry","Clash Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/1.0","5/5/-0.8/1","(10 Reviews)","4.7"
"1715292913-12","https://infinitediscs.com/brand/clash-discs","Soda","https://infinitediscs.com/clash-discs-soda","Soda","Clash Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/-2.0/2.0","7/5/-2/1.8","(3 Reviews)","5"
"1715292917-13","https://infinitediscs.com/brand/clash-discs","Lotus","https://infinitediscs.com/clash-discs-lotus","Lotus","Clash Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","8.0/5.0/-1.0/2.0","8/5/-0.8/2","(2 Reviews)","4.75"
"1715292921-14","https://infinitediscs.com/brand/clash-discs","Ginger","https://infinitediscs.com/clash-discs-ginger","Ginger","Clash Discs","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Everyone","9.0/4.0/0.0/2.0","8.9/4.1/0/2.4","(7 Reviews)","4.43"
"1715292929-15","https://infinitediscs.com/brand/clash-discs","Cookie","https://infinitediscs.com/clash-discs-cookie","Cookie","Clash Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/0.0/2.0","7.1/4.9/0/2.1","(6 Reviews)","4.83"
"1715292933-16","https://infinitediscs.com/brand/clash-discs","Cinnamon","https://infinitediscs.com/clash-discs-cinnamon","Cinnamon","Clash Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","9.0/5.0/-1.5/2.0","9/5/-1.5/2","(0 Reviews)","0"
"1715292937-17","https://infinitediscs.com/brand/clash-discs","Wild Honey","https://infinitediscs.com/clash-discs-honey","Wild Honey","Clash Discs","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","12.0/5.0/-2.0/2.0","12/5.1/-2.2/1.7","(11 Reviews)","4.5"
"1715292941-18","https://infinitediscs.com/brand/clash-discs","Vanilla","https://infinitediscs.com/clash-discs-vanilla","Vanilla","Clash Discs","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","11.0/6.0/-2.0/1.0","11/6/-2.1/1","(3 Reviews)","5"
"1715292946-19","https://infinitediscs.com/brand/clash-discs","Spice","https://infinitediscs.com/clash-discs-spice","Spice","Clash Discs","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","10.0/4.0/0.0/4.0","10/4/0/3.9","(2 Reviews)","5"
"1715292951-20","https://infinitediscs.com/brand/clash-discs","Salt","https://infinitediscs.com/clash-discs-salt","Salt","Clash Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Advanced","12.0/5.0/-1.0/3.0","12/5/-1/2.9","(2 Reviews)","4.75"
"1715292955-21","https://infinitediscs.com/brand/clash-discs","Sage","https://infinitediscs.com/clash-discs-sage","Sage","Clash Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/6.0/-1.0/3.0","12/6/-1/3","(0 Reviews)","0"
"1715292959-22","https://infinitediscs.com/brand/clash-discs","Pepper","https://infinitediscs.com/clash-discs-pepper","Pepper","Clash Discs","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","11.0/5.0/0.0/4.0","10.8/4.8/0/4.2","(2 Reviews)","4.5"
