web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715293779-1","https://infinitediscs.com/brand/dga","Surf","https://infinitediscs.com/dga-surf","Surf","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","?/?/?/?","?/?/?/?","(0 Reviews)","0"
"1715293783-2","https://infinitediscs.com/brand/dga","Steady BL","https://infinitediscs.com/dga-steady-bl","Steady BL","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/2.0","2/4/0/1.9","(7 Reviews)","4.71"
"1715293787-3","https://infinitediscs.com/brand/dga","Steady","https://infinitediscs.com/dga-steady","Steady","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2/3/0/1.5","(11 Reviews)","4.59"
"1715293791-4","https://infinitediscs.com/brand/dga","Sonar","https://infinitediscs.com/dga-sonar","Sonar","DGA","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","?/?/?/?","?/?/?/?","(0 Reviews)","0"
"1715293795-5","https://infinitediscs.com/brand/dga","Reef","https://infinitediscs.com/dga-reef","Reef","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/2.0/-1.0/1.0","2/2.1/-1.1/1","(9 Reviews)","3.78"
"1715293799-6","https://infinitediscs.com/brand/dga","Breaker","https://infinitediscs.com/dga-breaker","Breaker","DGA","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","4.0/3.0/0.0/3.0","3.8/3/0/2.8","(23 Reviews)","4.54"
"1715293803-7","https://infinitediscs.com/brand/dga","Blunt Gumbputt","https://infinitediscs.com/dga-blunt-gumbputt","Blunt Gumbputt","DGA","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/2.0/0.0/2.0","2/2.1/0/1.9","(11 Reviews)","4.27"
"1715293810-8","https://infinitediscs.com/brand/dga","Blowfly II","https://infinitediscs.com/dga-blowfly-ii","Blowfly II","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/2.0/0.0/2.0","2.3/2/-0.3/1.7","(10 Reviews)","3.7"
"1715293815-9","https://infinitediscs.com/brand/dga","Blowfly I","https://infinitediscs.com/dga-blowfly-i","Blowfly I","DGA","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/2.0/0.0/2.0","2/2.1/-0.4/1.9","(16 Reviews)","4.06"
"1715293820-10","https://infinitediscs.com/brand/dga","Tremor","https://infinitediscs.com/dga-tremor","Tremor","DGA","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner","6.0/5.0/-4.0/1.0","6/5/-3.9/1","(13 Reviews)","4.85"
