web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715355326-1","https://infinitediscs.com/brand/discmania","Tactic","https://infinitediscs.com/discmania-tactic","Tactic","Discmania","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","4.0/2.0/0.0/3.0","4/2.1/0/2.9","(59 Reviews)","4.42"
"1715355331-2","https://infinitediscs.com/brand/discmania","Spore","https://infinitediscs.com/discmania-spore","Spore","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","1.0/7.0/0.0/1.0","1/7/0/1","(2 Reviews)","3.75"
"1715355335-3","https://infinitediscs.com/brand/discmania","Shogun","https://infinitediscs.com/discmania-shogun","Shogun","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/2.0","2/4.1/0.1/1.9","(7 Reviews)","4.86"
"1715355340-4","https://infinitediscs.com/brand/discmania","Sensei","https://infinitediscs.com/discmania-sensei","Sensei","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","2.9/3/0/1","(25 Reviews)","4.56"
"1715355345-5","https://infinitediscs.com/brand/discmania","Rainmaker","https://infinitediscs.com/discmania-rainmaker","Rainmaker","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.5","2.2/3.1/0/0.6","(9 Reviews)","4.83"
"1715355350-6","https://infinitediscs.com/brand/discmania","P3x","https://infinitediscs.com/discmania-p3x","P3x","Discmania","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/2.0/0.0/3.0","3/2.2/0/2.6","(31 Reviews)","4.55"
"1715355356-7","https://infinitediscs.com/brand/discmania","P2","https://infinitediscs.com/discmania-p2","P2","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3.1/0/1.2","(166 Reviews)","4.68"
"1715355363-8","https://infinitediscs.com/brand/discmania","P1","https://infinitediscs.com/discmania-p1","P1","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2/3.1/-0.1/0.2","(21 Reviews)","4.5"
"1715355370-9","https://infinitediscs.com/brand/discmania","Logic","https://infinitediscs.com/discmania-logic","Logic","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3/0/1","(19 Reviews)","4.79"
"1715355375-10","https://infinitediscs.com/brand/discmania","Link","https://infinitediscs.com/discmania-link","Link","Discmania","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2.1/3.1/0/1","(59 Reviews)","4.74"
