web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715295003-1","https://infinitediscs.com/brand/discraft","Zone OS","https://infinitediscs.com/discraft-zone-os","Zone OS","Discraft","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/2.0/1.0/5.0","4/2/1/4.8","(15 Reviews)","4.3"
"1715295033-2","https://infinitediscs.com/brand/discraft","Zone GT","https://infinitediscs.com/discraft-zone-gt","Zone GT","Discraft","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","4/3/0/2.8","(2 Reviews)","3.75"
"1715295058-3","https://infinitediscs.com/brand/discraft","Zone","https://infinitediscs.com/discraft-zone","Zone","Discraft","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","3.9/3/0/3","(370 Reviews)","4.89"
"1715295096-4","https://infinitediscs.com/brand/discraft","Zeppelin","https://infinitediscs.com/discraft-zeppelin","Zeppelin","Discraft","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","2.5/6.0/-1.0/0.0","2.5/6/-1/0","(3 Reviews)","5"
"1715295143-5","https://infinitediscs.com/brand/discraft","Soft Magnet","https://infinitediscs.com/discraft-soft-magnet","Soft Magnet","Discraft","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/-1.0/1.0","2/3.1/-1/1.4","(20 Reviews)","4.1"
"1715295179-6","https://infinitediscs.com/brand/discraft","Roach","https://infinitediscs.com/discraft-roach","Roach","Discraft","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2.1/4/-0.2/1","(70 Reviews)","4.55"
"1715295216-7","https://infinitediscs.com/brand/discraft","Ringer GT","https://infinitediscs.com/discraft-ringer-gt","Ringer GT","Discraft","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/4.0/0.0/3.0","3.3/3.2/0/2.8","(26 Reviews)","4.77"
"1715295263-8","https://infinitediscs.com/brand/discraft","Ringer","https://infinitediscs.com/discraft-ringer","Ringer","Discraft","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","4.0/4.0/0.0/2.0","3.4/3.8/0/2","(24 Reviews)","4.5"
"1715295299-9","https://infinitediscs.com/brand/discraft","Rattler","https://infinitediscs.com/discraft-rattler","Rattler","Discraft","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner","2.0/2.0/-2.0/1.0","2/2.6/-1.6/1","(17 Reviews)","3.65"
"1715295334-10","https://infinitediscs.com/brand/discraft","Putt'r","https://infinitediscs.com/discraft-puttr","Putt'r","Discraft","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Everyone","2.0/3.0/-1.0/1.0","2/3.1/-1.2/0.9","(7 Reviews)","3.71"
