"Name";"Manufacturer";"DiscType";"Stability";"Skill";"MFNum";"RFNum";"NumReviews";"Rating";"MSpeed";"MGlide";"MTurn";"MFade";"RSpeed";"RGlide";"RTurn";"RFade";"Stab";"Owned"
"Tempo";"Axiom";"Putt & Approach";"Overstable";"Everyone";"4.0/4.0/0.0/2.5";"4/3.9/-0.1/2.3";5;4.5;4.0;4.0;0.0;2.5;4.0;3.9;-0.1;2.3;2.5;0
"Proxy";"Axiom";"Putt & Approach";"Stable";"Beginner-Intermediate";"3.0/3.0/-1.0/0.5";"3/3.2/-0.9/0.6";84;4.81;3.0;3.0;-1.0;0.5;3.0;3.2;-0.9;0.6;-0.5;0
"Pixel";"Axiom";"Putt & Approach";"Stable";"Everyone";"2.0/4.0/0.0/0.5";"2/4/0/0.5";6;4.5;2.0;4.0;0.0;0.5;2.0;4.0;0.0;0.5;0.5;0
"Pitch";"Axiom";"Putt & Approach";"Stable";"Everyone";"1.0/7.0/-0.5/0.0";"1/7/-0.5/0";1;4.0;1.0;7.0;-0.5;0.0;1.0;7.0;-0.5;0.0;-0.5;0
"Envy";"Axiom";"Putt & Approach";"Overstable";"Everyone";"3.0/3.0/0.0/2.0";"2.9/3.1/-0.1/1.9";244;4.87;3.0;3.0;0.0;2.0;2.9;3.1;-0.1;1.9;2.0;0
"Theory";"Axiom";"Mid Range";"Understable";"Beginner";"4.0/4.0/-1.5/1.0";"4.6/4.6/-1.8/0.8";31;4.48;4.0;4.0;-1.5;1.0;4.6;4.6;-1.8;0.8;-0.5;0
"Pyro";"Axiom";"Mid Range";"Overstable";"Everyone";"5.0/4.0/0.0/2.5";"5.1/3.9/0/2.8";61;4.61;5.0;4.0;0.0;2.5;5.1;3.9;0.0;2.8;2.5;0
"Paradox";"Axiom";"Mid Range";"Very Understable";"Beginner";"5.0/4.0/-4.0/0.0";"5/4.1/-3.9/0.1";41;4.56;5.0;4.0;-4.0;0.0;5.0;4.1;-3.9;0.1;-4.0;0
"Hex";"Axiom";"Mid Range";"Stable";"Everyone";"5.0/5.0/-1.0/1.0";"5/5/-0.9/1";80;4.84;5.0;5.0;-1.0;1.0;5.0;5.0;-0.9;1.0;0.0;0
"Alias";"Axiom";"Mid Range";"Stable";"Beginner";"4.0/4.0/-1.0/1.0";"4.2/4.2/-0.9/1";21;4.19;4.0;4.0;-1.0;1.0;4.2;4.2;-0.9;1.0;0.0;0
"Wrath";"Axiom";"Control Driver";"Stable";"Intermediate-Advanced";"9.0/4.5/-0.5/2.0";"10/4.5/-0.6/2.2";34;4.21;9.0;4.5;-0.5;2.0;10.0;4.5;-0.6;2.2;1.5;0
"Trance";"Axiom";"Control Driver";"Understable";"Everyone";"8.0/5.0/-2.0/1.0";"8/5/-1.6/1";4;4.13;8.0;5.0;-2.0;1.0;8.0;5.0;-1.6;1.0;-1.0;0
"Rhythm";"Axiom";"Control Driver";"Understable";"Everyone";"7.0/5.0/-2.0/1.0";"7/5/-1.8/1.1";10;4.6;7.0;5.0;-2.0;1.0;7.0;5.0;-1.8;1.1;-1.0;0
"Inspire";"Axiom";"Control Driver";"Understable";"Beginner";"6.5/4.0/-1.5/1.0";"6.3/4.5/-1.9/1.3";20;4.35;6.5;4.0;-1.5;1.0;6.3;4.5;-1.9;1.3;-0.5;0
"Insanity";"Axiom";"Control Driver";"Understable";"Intermediate";"9.0/5.0/-2.0/1.5";"9.4/5/-1.8/1.5";95;4.72;9.0;5.0;-2.0;1.5;9.4;5.0;-1.8;1.5;-0.5;0
"Fireball";"Axiom";"Control Driver";"Very Overstable";"Advanced";"9.0/3.5/0.0/3.5";"9.6/3.2/-0.1/3.7";39;4.42;9.0;3.5;0.0;3.5;9.6;3.2;-0.1;3.7;3.5;0
"Crave";"Axiom";"Control Driver";"Stable";"Everyone";"6.5/5.0/-1.0/1.0";"6.6/5/-1/1.1";107;4.71;6.5;5.0;-1.0;1.0;6.6;5.0;-1.0;1.1;0.0;0
"Clash";"Axiom";"Control Driver";"Overstable";"Everyone";"6.5/4.0/-1.0/2.0";"6.9/4.5/-0.9/2.5";27;4.56;6.5;4.0;-1.0;2.0;6.9;4.5;-0.9;2.5;1.0;0
"Virus";"Axiom";"Distance Driver";"Very Understable";"Beginner-Intermediate";"9.0/5.0/-3.5/1.0";"9.5/5/-3.4/1";33;4.42;9.0;5.0;-3.5;1.0;9.5;5.0;-3.4;1.0;-2.5;0
"Vanish";"Axiom";"Distance Driver";"Understable";"Everyone";"11.0/5.0/-3.0/2.0";"11.5/5/-2.7/1.9";24;4.31;11.0;5.0;-3.0;2.0;11.5;5.0;-2.7;1.9;-1.0;0
"Time-Lapse";"Axiom";"Distance Driver";"Overstable";"Intermediate-Advanced";"12.0/5.0/-1.0/3.0";"12/4.9/-0.9/3.1";5;4.4;12.0;5.0;-1.0;3.0;12.0;4.9;-0.9;3.1;2.0;0
"Thrill";"Axiom";"Distance Driver";"Overstable";"Intermediate-Advanced";"11.0/4.0/0.0/3.5";"11/3.9/0/3.3";13;4.23;11.0;4.0;0.0;3.5;11.0;3.9;0.0;3.3;3.5;0
"Tenacity";"Axiom";"Distance Driver";"Understable";"Intermediate-Advanced";"13.0/5.0/-2.5/2.0";"13/5/-2.6/2";17;4.59;13.0;5.0;-2.5;2.0;13.0;5.0;-2.6;2.0;-0.5;0
