web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715296543-1","https://infinitediscs.com/brand/dynamic-discs","Warden","https://infinitediscs.com/dynamic-discs-warden","Warden","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/0.5","2.1/3.7/0/0.5","(134 Reviews)","4.69"
"1715296548-2","https://infinitediscs.com/brand/dynamic-discs","Sockibomb Slammer","https://infinitediscs.com/dynamic-discs-sockibomb-slammer","Sockibomb Slammer","Dynamic Discs","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Everyone","3.0/1.0/0.5/4.0","3.1/1/0.5/4","(12 Reviews)","4.33"
"1715296552-3","https://infinitediscs.com/brand/dynamic-discs","Slammer","https://infinitediscs.com/dynamic-discs-slammer","Slammer","Dynamic Discs","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/2.0/0.0/3.0","2.7/2.1/0/3","(36 Reviews)","4.47"
"1715296557-4","https://infinitediscs.com/brand/dynamic-discs","Marshal","https://infinitediscs.com/dynamic-discs-marshal","Marshal","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner","3.0/4.0/0.0/1.0","3.1/3.7/-0.1/1.2","(29 Reviews)","4.62"
"1715296561-5","https://infinitediscs.com/brand/dynamic-discs","Judge XS","https://infinitediscs.com/dynamic-discs-judge-xs","Judge XS","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","?/?/?/?","?/?/?/?","(0 Reviews)","0"
"1715296565-6","https://infinitediscs.com/brand/dynamic-discs","Judge","https://infinitediscs.com/dynamic-discs-judge","Judge","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2/4/0/0.9","(230 Reviews)","4.67"
"1715296570-7","https://infinitediscs.com/brand/dynamic-discs","Guard","https://infinitediscs.com/dynamic-discs-guard","Guard","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/5.0/0.0/0.5","2/5/0/0.5","(26 Reviews)","4.42"
"1715296574-8","https://infinitediscs.com/brand/dynamic-discs","Gavel","https://infinitediscs.com/dynamic-discs-gavel","Gavel","Dynamic Discs","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner","3.0/5.0/-2.0/0.5","3/5/-1.8/0.4","(3 Reviews)","4.33"
"1715296578-9","https://infinitediscs.com/brand/dynamic-discs","EMac Judge","https://infinitediscs.com/dynamic-discs-emac-judge","EMac Judge","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2/4/0/1","(33 Reviews)","4.64"
"1715296583-10","https://infinitediscs.com/brand/dynamic-discs","Deputy","https://infinitediscs.com/dynamic-discs-deputy","Deputy","Dynamic Discs","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner, Everyone","3.0/4.0/-1.5/0.0","3/4/-1.4/0","(72 Reviews)","4.64"
"1715296587-11","https://infinitediscs.com/brand/dynamic-discs","Culprit","https://infinitediscs.com/dynamic-discs-culprit","Culprit","Dynamic Discs","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/2.0/0.0/3.5","4/2.1/0/3.5","(9 Reviews)","4.61"
"1715296592-12","https://infinitediscs.com/brand/dynamic-discs","Agent","https://infinitediscs.com/dynamic-discs-agent","Agent","Dynamic Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/-0.1/1.1","(4 Reviews)","4.38"
"1715296598-13","https://infinitediscs.com/brand/dynamic-discs","Warrant","https://infinitediscs.com/dynamic-discs-warrant","Warrant","Dynamic Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Beginner, Everyone","5.0/5.0/-2.0/0.0","5/5/-1.9/0.2","(36 Reviews)","4.28"
"1715296602-14","https://infinitediscs.com/brand/dynamic-discs","Verdict","https://infinitediscs.com/dynamic-discs-verdict","Verdict","Dynamic Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Advanced","5.0/4.0/0.0/3.0","5.1/4.1/-0.1/3.3","(122 Reviews)","4.78"
"1715296606-15","https://infinitediscs.com/brand/dynamic-discs","Truth","https://infinitediscs.com/dynamic-discs-truth","Truth","Dynamic Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/1.0","5/5.1/-0.7/1.3","(98 Reviews)","4.53"
"1715296613-16","https://infinitediscs.com/brand/dynamic-discs","Suspect","https://infinitediscs.com/dynamic-discs-suspect","Suspect","Dynamic Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","4/3/0/2.8","(71 Reviews)","4.65"
"1715296617-17","https://infinitediscs.com/brand/dynamic-discs","Proof","https://infinitediscs.com/dynamic-discs-proof","Proof","Dynamic Discs","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner, Everyone","5.0/6.0/-3.0/1.0","5/5.7/-3.1/0.9","(4 Reviews)","4.25"
"1715296621-18","https://infinitediscs.com/brand/dynamic-discs","Patrol","https://infinitediscs.com/dynamic-discs-patrol","Patrol","Dynamic Discs","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner, Everyone","5.0/5.0/-3.0/1.0","5/5/-3/0.6","(31 Reviews)","4.35"
"1715296626-19","https://infinitediscs.com/brand/dynamic-discs","Justice","https://infinitediscs.com/dynamic-discs-justice","Justice","Dynamic Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Advanced","5.0/1.0/0.5/4.0","5/1.9/0.5/4.1","(135 Reviews)","4.72"
"1715296630-20","https://infinitediscs.com/brand/dynamic-discs","Fugitive","https://infinitediscs.com/dynamic-discs-fugitive","Fugitive","Dynamic Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/-0.5/1.5","5/5/-0.6/1.4","(13 Reviews)","4.85"
"1715296635-21","https://infinitediscs.com/brand/dynamic-discs","Evidence","https://infinitediscs.com/dynamic-discs-evidence","Evidence","Dynamic Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/0.0","5/5.1/-1/0.3","(40 Reviews)","4.55"
"1715296641-22","https://infinitediscs.com/brand/dynamic-discs","EMac Truth","https://infinitediscs.com/dynamic-discs-emac-truth","EMac Truth","Dynamic Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/0.0/2.0","5/5/-0.2/1.9","(171 Reviews)","4.7"
"1715296648-23","https://infinitediscs.com/brand/dynamic-discs","Bounty","https://infinitediscs.com/dynamic-discs-bounty","Bounty","Dynamic Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","4.0/5.0/-1.5/0.5","4/5.1/-1.5/0.5","(26 Reviews)","4.73"
"1715296652-24","https://infinitediscs.com/brand/dynamic-discs","Witness","https://infinitediscs.com/dynamic-discs-witness","Witness","Dynamic Discs","Primary Use: Control Driver","Stability: Very Understable","Recommended Skill Level: Beginner","8.0/6.0/-3.0/1.0","8/6/-3/1","(42 Reviews)","4.24"
"1715296657-25","https://infinitediscs.com/brand/dynamic-discs","Vandal","https://infinitediscs.com/dynamic-discs-vandal","Vandal","Dynamic Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","9.0/5.0/-1.0/2.0","9.1/5/-1.4/1.9","(36 Reviews)","4.57"
"1715296660-26","https://infinitediscs.com/brand/dynamic-discs","Thief","https://infinitediscs.com/dynamic-discs-thief","Thief","Dynamic Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate","8.0/5.0/-1.5/2.0","8/5/-1.4/1.7","(34 Reviews)","4.21"
"1715296664-27","https://infinitediscs.com/brand/dynamic-discs","Sockibomb Felon","https://infinitediscs.com/dynamic-discs-sockibomb-felon","Sockibomb Felon","Dynamic Discs","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/3.0/0.5/4.0","9/3.1/0.5/4","(2 Reviews)","3.5"
"1715296669-28","https://infinitediscs.com/brand/dynamic-discs","Maverick","https://infinitediscs.com/dynamic-discs-maverick","Maverick","Dynamic Discs","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Everyone","7.0/4.0/-1.0/2.0","7/4.2/-1.5/1.8","(83 Reviews)","4.46"
