web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715296855-1","https://infinitediscs.com/brand/gateway","Wizard","https://infinitediscs.com/gateway-wizard","Wizard","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","2.0/3.0/0.0/2.0","2.4/3.6/0/1.9","(288 Reviews)","4.72"
"1715296861-2","https://infinitediscs.com/brand/gateway","Warspear","https://infinitediscs.com/gateway-warspear","Warspear","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.5","2.1/2.5/0/2.4","(8 Reviews)","4.13"
"1715296865-3","https://infinitediscs.com/brand/gateway","Warlock","https://infinitediscs.com/gateway-warlock","Warlock","Gateway","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Everyone","2.0/3.0/0.0/1.0","2.3/3.5/-0.2/1.3","(41 Reviews)","4.66"
"1715296873-4","https://infinitediscs.com/brand/gateway","Voodoo","https://infinitediscs.com/gateway-voodoo","Voodoo","Gateway","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2.4/3.4/0/0.6","(69 Reviews)","4.65"
"1715296878-5","https://infinitediscs.com/brand/gateway","Training Wizard","https://infinitediscs.com/gateway-training-wizard","Training Wizard","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2.1/3.2/0/2","(1 Reviews)","2"
"1715296882-6","https://infinitediscs.com/brand/gateway","Shaman","https://infinitediscs.com/gateway-shaman","Shaman","Gateway","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/-1.0/1.0","3.1/3.3/-0.7/1","(30 Reviews)","4.7"
"1715296886-7","https://infinitediscs.com/brand/gateway","Magic","https://infinitediscs.com/gateway-magic","Magic","Gateway","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner, Everyone","2.0/3.0/-1.0/0.0","2.2/3.5/-1/0","(61 Reviews)","4.56"
"1715296890-8","https://infinitediscs.com/brand/gateway","Houdini","https://infinitediscs.com/gateway-houdini","Houdini","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/3.0/0.0/3.0","3/2.9/0/3","(4 Reviews)","4.38"
"1715296897-9","https://infinitediscs.com/brand/gateway","Devilhawk","https://infinitediscs.com/gateway-devil-hawk","Devilhawk","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/4.0","3/2.9/0.1/3.2","(18 Reviews)","4.61"
"1715296901-10","https://infinitediscs.com/brand/gateway","Chief OS","https://infinitediscs.com/gateway-chief-os","Chief OS","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","3.1/3/0/2.3","(16 Reviews)","4.25"
"1715296906-11","https://infinitediscs.com/brand/gateway","Chief","https://infinitediscs.com/gateway-chief","Chief","Gateway","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3.1/-0.1/1.2","(21 Reviews)","4.67"
