web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715297191-1","https://infinitediscs.com/brand/infinite-discs","Tomb","https://infinitediscs.com/infinite-discs-tomb","Tomb","Infinite Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","3.0/4.0/0.0/1.0","3.1/4/0/1.1","(184 Reviews)","4.88"
"1715297198-2","https://infinitediscs.com/brand/infinite-discs","Scarab","https://infinitediscs.com/infinite-discs-scarab","Scarab","Infinite Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2/4/-0.1/1","(44 Reviews)","4.73"
"1715297204-3","https://infinitediscs.com/brand/infinite-discs","Ruin","https://infinitediscs.com/infinite-discs-ruin","Ruin","Infinite Discs","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/3.0/0.0/3.0","3/3/0/2.9","(68 Reviews)","4.6"
"1715297212-4","https://infinitediscs.com/brand/infinite-discs","Raze","https://infinitediscs.com/infinite-discs-raze","Raze","Infinite Discs","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Advanced, Everyone","3.0/2.0/0.0/3.0","3/2.2/0/3","(9 Reviews)","4.44"
"1715297217-5","https://infinitediscs.com/brand/infinite-discs","Myth","https://infinitediscs.com/infinite-discs-myth","Myth","Infinite Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2/3/0/1.9","(86 Reviews)","4.74"
"1715297222-6","https://infinitediscs.com/brand/infinite-discs","Cohort","https://infinitediscs.com/infinite-discs-cohort","Cohort","Infinite Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.5/4.0/0.0/1.0","3.5/4/-0.1/1","(44 Reviews)","4.77"
"1715297226-7","https://infinitediscs.com/brand/infinite-discs","Alpaca","https://infinitediscs.com/infinite-discs-alpaca","Alpaca","Infinite Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","2.9/3/0/1.1","(103 Reviews)","4.85"
"1715297232-8","https://infinitediscs.com/brand/infinite-discs","Ra","https://infinitediscs.com/infinite-discs-ra","Ra","Infinite Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/4.0/0.0/2.5","5/4.1/0/2.5","(59 Reviews)","4.69"
"1715297236-9","https://infinitediscs.com/brand/infinite-discs","Kon Tiki","https://infinitediscs.com/infinite-discs-kon-tiki","Kon Tiki","Infinite Discs","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner, Intermediate","4.0/5.0/-3.0/0.0","4/5/-3.3/0","(28 Reviews)","4.16"
"1715297240-10","https://infinitediscs.com/brand/infinite-discs","Khonsu","https://infinitediscs.com/infinite-discs-khonsu","Khonsu","Infinite Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/5.0/-3.0/0.0","5/5.1/-2.8/0.1","(6 Reviews)","4.17"
"1715297244-11","https://infinitediscs.com/brand/infinite-discs","Inca","https://infinitediscs.com/infinite-discs-inca","Inca","Infinite Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/0.0/3.0","5/4.9/-0.1/2.5","(28 Reviews)","4.46"
"1715297248-12","https://infinitediscs.com/brand/infinite-discs","Galleon","https://infinitediscs.com/infinite-discs-galleon","Galleon","Infinite Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Advanced","6.0/3.0/0.0/5.0","6/2.7/0.2/5","(11 Reviews)","4.41"
"1715297253-13","https://infinitediscs.com/brand/infinite-discs","Chariot","https://infinitediscs.com/infinite-discs-chariot","Chariot","Infinite Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/1.0","5/5/0/1.1","(124 Reviews)","4.8"
"1715297260-14","https://infinitediscs.com/brand/infinite-discs","Anubis","https://infinitediscs.com/infinite-discs-anubis","Anubis","Infinite Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/0.0","5/5.1/-0.2/0.2","(115 Reviews)","4.7"
"1715297265-15","https://infinitediscs.com/brand/infinite-discs","Sphinx","https://infinitediscs.com/infinite-discs-sphinx","Sphinx","Infinite Discs","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner, Everyone","9.0/6.0/-3.0/1.0","9/6/-2.8/1","(169 Reviews)","4.9"
"1715297275-16","https://infinitediscs.com/brand/infinite-discs","Scepter","https://infinitediscs.com/infinite-discs-scepter","Scepter","Infinite Discs","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/4.0/0.0/4.0","9/3.9/0/3.8","(84 Reviews)","4.86"
"1715297279-17","https://infinitediscs.com/brand/infinite-discs","Roman","https://infinitediscs.com/infinite-discs-roman","Roman","Infinite Discs","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Advanced","10.0/4.0/0.0/3.0","9.8/4.2/-0.2/2.8","(27 Reviews)","4.72"
"1715297285-18","https://infinitediscs.com/brand/infinite-discs","Exodus","https://infinitediscs.com/infinite-discs-exodus","Exodus","Infinite Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/-0.5/2.0","7/4.9/-0.5/2","(159 Reviews)","4.76"
"1715297291-19","https://infinitediscs.com/brand/infinite-discs","Dynasty","https://infinitediscs.com/infinite-discs-dynasty","Dynasty","Infinite Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","9.0/5.0/-1.0/2.0","9/5/-1/2","(67 Reviews)","4.81"
"1715297298-20","https://infinitediscs.com/brand/infinite-discs","Centurion","https://infinitediscs.com/infinite-discs-centurion","Centurion","Infinite Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/-1.0/2.0","7/5.1/-1.1/1.5","(112 Reviews)","4.87"
"1715297306-21","https://infinitediscs.com/brand/infinite-discs","Slab","https://infinitediscs.com/infinite-discs-slab","Slab","Infinite Discs","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/3.0/0.0/4.0","11.8/3.1/0/3.9","(106 Reviews)","4.71"
"1715297311-22","https://infinitediscs.com/brand/infinite-discs","Pharaoh","https://infinitediscs.com/infinite-discs-pharaoh","Pharaoh","Infinite Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","13.0/6.0/-1.0/2.0","12.9/5.9/-1.3/2","(258 Reviews)","4.71"
"1715297320-23","https://infinitediscs.com/brand/infinite-discs","Maya","https://infinitediscs.com/infinite-discs-maya","Maya","Infinite Discs","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","11.0/5.0/-3.0/1.0","11.4/5.1/-2.9/1","(82 Reviews)","4.7"
"1715297325-24","https://infinitediscs.com/brand/infinite-discs","Emperor","https://infinitediscs.com/infinite-discs-emperor","Emperor","Infinite Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/-1.0/2.5","12/5.1/-1/2.5","(187 Reviews)","4.83"
"1715297332-25","https://infinitediscs.com/brand/infinite-discs","Czar","https://infinitediscs.com/infinite-discs-czar","Czar","Infinite Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","11.0/5.0/-1.0/3.0","11/5/-1/2.9","(25 Reviews)","4.74"
"1715297339-26","https://infinitediscs.com/brand/infinite-discs","Conqueror","https://infinitediscs.com/infinite-discs-conqueror","Conqueror","Infinite Discs","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","12.0/4.0/0.0/4.0","12/4/-0.1/3.9","(9 Reviews)","4.89"
"1715297347-27","https://infinitediscs.com/brand/infinite-discs","Aztec","https://infinitediscs.com/infinite-discs-aztec","Aztec","Infinite Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Everyone","10.0/5.0/-1.0/2.0","10.1/5.1/-1.2/1.9","(100 Reviews)","4.8"
