web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715297516-1","https://infinitediscs.com/brand/innova","Zephyr","https://infinitediscs.com/innova-zephyr","Zephyr","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level:","2.0/3.0/0.0/0.0","2.1/3.3/-0.1/0","(13 Reviews)","4.15"
"1715297521-2","https://infinitediscs.com/brand/innova","Yeti Pro Aviar","https://infinitediscs.com/innova-aviar-yeti","Yeti Pro Aviar","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/2.9/0/1","(50 Reviews)","4.66"
"1715297525-3","https://infinitediscs.com/brand/innova","Xero","https://infinitediscs.com/innova-xero","Xero","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2/3.1/-0.1/0","(7 Reviews)","4.5"
"1715297530-4","https://infinitediscs.com/brand/innova","XD +","https://infinitediscs.com/innova-xd-","XD +","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/-1.0/1.0","3/4/-0.9/0.9","(4 Reviews)","4.5"
"1715297534-5","https://infinitediscs.com/brand/innova","XD","https://infinitediscs.com/innova-xd","XD","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/-1.0/1.0","3.1/4/-1/1","(4 Reviews)","4.5"
"1715297538-6","https://infinitediscs.com/brand/innova","Whale","https://infinitediscs.com/innova-whale","Whale","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3.1/0/1","(40 Reviews)","4.38"
"1715297543-7","https://infinitediscs.com/brand/innova","Warhog","https://infinitediscs.com/innova-warhog","Warhog","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3/0/1","(0 Reviews)","0"
"1715297549-8","https://infinitediscs.com/brand/innova","Stud","https://infinitediscs.com/innova-stud","Stud","Innova","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","3/3.1/0/1.9","(25 Reviews)","4.8"
"1715297553-9","https://infinitediscs.com/brand/innova","Sonic","https://infinitediscs.com/innova-sonic","Sonic","Innova","Primary Use: Putt & Approach","Stability: Very Understable","Recommended Skill Level: Beginner","1.0/2.0/-4.0/0.0","1.1/2.2/-3.8/0","(27 Reviews)","4.17"
"1715297557-10","https://infinitediscs.com/brand/innova","RhynoX","https://infinitediscs.com/innova-rhynox","RhynoX","Innova","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","2.0/1.0/0.0/4.0","2.1/1.1/0/3.6","(9 Reviews)","3.11"
