web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715299016-1","https://infinitediscs.com/brand/kastaplast","Reko X","https://infinitediscs.com/kastaplast-reko-x","Reko X","Kastaplast","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level:","3.0/3.0/0.0/2.0","3/3.1/0/2","(7 Reviews)","4.79"
"1715299021-2","https://infinitediscs.com/brand/kastaplast","Reko","https://infinitediscs.com/kastaplast-reko","Reko","Kastaplast","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3.2/-0.1/1.1","(65 Reviews)","4.81"
"1715299026-3","https://infinitediscs.com/brand/kastaplast","Berg X","https://infinitediscs.com/kastaplast-berg-x","Berg X","Kastaplast","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","1.0/1.0/1.0/2.0","1/1/0.9/2","(3 Reviews)","4.67"
"1715299031-4","https://infinitediscs.com/brand/kastaplast","Berg","https://infinitediscs.com/kastaplast-berg","Berg","Kastaplast","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","1.0/1.0/0.0/2.0","1.1/1.2/0/1.8","(129 Reviews)","4.69"
"1715299035-5","https://infinitediscs.com/brand/kastaplast","Svea","https://infinitediscs.com/kastaplast-svea","Svea","Kastaplast","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/6.0/-1.0/0.0","5/6/-1.1/0.1","(29 Reviews)","4.78"
"1715299039-6","https://infinitediscs.com/brand/kastaplast","Stig","https://infinitediscs.com/kastaplast-stig","Stig","Kastaplast","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","6.0/5.0/-2.0/1.0","6/5.1/-1.9/1","(2 Reviews)","4.75"
"1715299043-7","https://infinitediscs.com/brand/kastaplast","Nord","https://infinitediscs.com/kastaplast-nord","Nord","Kastaplast","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","5.0/4.0/0.0/3.0","5/4/0/3","(0 Reviews)","0"
"1715299046-8","https://infinitediscs.com/brand/kastaplast","Kaxe Z","https://infinitediscs.com/kastaplast-kaxe-z","Kaxe Z","Kastaplast","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Intermediate, Everyone","6.0/5.0/0.0/2.0","6/5/-0.2/1.9","(51 Reviews)","4.75"
"1715299050-9","https://infinitediscs.com/brand/kastaplast","Kaxe (2023 retool)","https://infinitediscs.com/kastaplast-kaxe-(2023-retool)","Kaxe (2023 retool)","Kastaplast","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","6.0/4.0/0.0/3.0","6/4.2/0/2.9","(2 Reviews)","5"
"1715299054-10","https://infinitediscs.com/brand/kastaplast","Kaxe","https://infinitediscs.com/kastaplast-kaxe","Kaxe","Kastaplast","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Intermediate","6.0/4.0/0.0/3.0","6/4.2/0/2.8","(42 Reviews)","4.57"
