web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715299465-1","https://infinitediscs.com/brand/latitude-64","Spike","https://infinitediscs.com/latitude-64-spike","Spike","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","4.0/3.0/-1.0/1.0","3.9/2.7/-1/0.9","(16 Reviews)","4.31"
"1715299470-2","https://infinitediscs.com/brand/latitude-64","Sinus","https://infinitediscs.com/latitude-64-sinus","Sinus","Latitude 64","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/2.0/0.0/2.0","2.1/1.9/0/2.4","(28 Reviews)","4.29"
"1715299473-3","https://infinitediscs.com/brand/latitude-64","Savior","https://infinitediscs.com/latitude-64-savior","Savior","Latitude 64","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/4.0/0.0/3.0","4/4/0/3","(5 Reviews)","5"
"1715299480-4","https://infinitediscs.com/brand/latitude-64","Sarek","https://infinitediscs.com/latitude-64-sarek","Sarek","Latitude 64","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.5","2.1/4.2/-0.1/1.4","(10 Reviews)","4.8"
"1715299485-5","https://infinitediscs.com/brand/latitude-64","Ruby","https://infinitediscs.com/latitude-64-ruby","Ruby","Latitude 64","Primary Use: Putt & Approach","Stability: Very Understable","Recommended Skill Level: Beginner","3.0/5.0/-3.0/1.0","3/4.8/-3/0.9","(9 Reviews)","4.56"
"1715299491-6","https://infinitediscs.com/brand/latitude-64","Pure","https://infinitediscs.com/latitude-64-pure","Pure","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Everyone","3.0/3.0/-1.0/1.0","3/3.1/-0.6/0.7","(163 Reviews)","4.77"
"1715299496-7","https://infinitediscs.com/brand/latitude-64","Mercy","https://infinitediscs.com/latitude-64-mercy","Mercy","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2.1/4.1/0/1","(33 Reviews)","4.73"
"1715299500-8","https://infinitediscs.com/brand/latitude-64","Macana","https://infinitediscs.com/latitude-64-macana","Macana","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/5.0/0.0/1.0","2/5/0/1","(23 Reviews)","4.33"
"1715299505-9","https://infinitediscs.com/brand/latitude-64","Keystone","https://infinitediscs.com/latitude-64-keystone","Keystone","Latitude 64","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","2.0/5.0/-1.0/1.0","2.1/5/-1/0.9","(30 Reviews)","4.48"
"1715299509-10","https://infinitediscs.com/brand/latitude-64","Hope","https://infinitediscs.com/latitude-64-hope","Hope","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/0/1","(3 Reviews)","5"
"1715299513-11","https://infinitediscs.com/brand/latitude-64","Gauntlet","https://infinitediscs.com/latitude-64-gauntlet","Gauntlet","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2.1/4.2/0/1","(14 Reviews)","4.64"
"1715299518-12","https://infinitediscs.com/brand/latitude-64","Faith","https://infinitediscs.com/latitude-64-faith","Faith","Latitude 64","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/0/1","(11 Reviews)","4.73"
"1715299522-13","https://infinitediscs.com/brand/latitude-64","Dagger","https://infinitediscs.com/latitude-64-dagger","Dagger","Latitude 64","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","2.0/5.0/0.0/1.0","2/4.8/0/1.2","(44 Reviews)","4.4"
"1715299530-14","https://infinitediscs.com/brand/latitude-64","Caltrop","https://infinitediscs.com/latitude-64-caltrop","Caltrop","Latitude 64","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","2.0/2.0/0.0/2.0","2/2.1/0/2","(21 Reviews)","4.24"
"1715299535-15","https://infinitediscs.com/brand/latitude-64","Beetle","https://infinitediscs.com/latitude-64-beetle","Beetle","Latitude 64","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner, Everyone","1.0/7.0/-1.0/0.0","1/6.9/-1.1/0","(7 Reviews)","4.57"
"1715299539-16","https://infinitediscs.com/brand/latitude-64","Trust","https://infinitediscs.com/latitude-64-trust","Trust","Latitude 64","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/0.0/2.0","5/5/-0.1/1.8","(11 Reviews)","4.32"
"1715299542-17","https://infinitediscs.com/brand/latitude-64","Pearl","https://infinitediscs.com/latitude-64-pearl","Pearl","Latitude 64","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner","4.0/6.0/-4.0/0.0","4.1/6/-4.1/0.2","(11 Reviews)","4.64"
"1715299546-18","https://infinitediscs.com/brand/latitude-64","Pain","https://infinitediscs.com/latitude-64-pain","Pain","Latitude 64","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","4.0/4.0/0.0/3.0","4.1/4/-0.1/3.1","(14 Reviews)","4.43"
"1715299549-19","https://infinitediscs.com/brand/latitude-64","Medius","https://infinitediscs.com/latitude-64-medius","Medius","Latitude 64","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/2.0","5/5/-1/2","(0 Reviews)","0"
"1715299553-20","https://infinitediscs.com/brand/latitude-64","Mace","https://infinitediscs.com/latitude-64-mace","Mace","Latitude 64","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced, Everyone","5.0/5.0/0.0/2.0","5/5/0/1.9","(24 Reviews)","4.46"
