web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715301261-1","https://infinitediscs.com/brand/mvp","Watt","https://infinitediscs.com/mvp-watt","Watt","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level:","2.0/5.0/-0.5/0.5","2/5/-0.5/0.5","(9 Reviews)","4.61"
"1715301265-2","https://infinitediscs.com/brand/mvp","Spin","https://infinitediscs.com/mvp-spin","Spin","MVP","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","2.5/4.0/-2.5/0.0","2.8/4/-1.9/0","(31 Reviews)","4.39"
"1715301270-3","https://infinitediscs.com/brand/mvp","Particle","https://infinitediscs.com/mvp-particle","Particle","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.5","3/3/-0.1/2.2","(22 Reviews)","4.41"
"1715301275-4","https://infinitediscs.com/brand/mvp","Ohm","https://infinitediscs.com/mvp-ohm","Ohm","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/5.0/0.0/1.0","2.1/5/-0.1/0.9","(25 Reviews)","4.76"
"1715301279-5","https://infinitediscs.com/brand/mvp","Nomad","https://infinitediscs.com/mvp-nomad","Nomad","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.5","2.1/3.9/0/1.2","(27 Reviews)","4.91"
"1715301284-6","https://infinitediscs.com/brand/mvp","Ion","https://infinitediscs.com/mvp-ion","Ion","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.5/3.0/0.0/1.5","2.9/3.5/0/1.2","(105 Reviews)","4.63"
"1715301292-7","https://infinitediscs.com/brand/mvp","Glitch","https://infinitediscs.com/mvp-glitch","Glitch","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Everyone","1.0/7.0/0.0/0.0","1/7/0/0","(43 Reviews)","4.86"
"1715301297-8","https://infinitediscs.com/brand/mvp","Entropy","https://infinitediscs.com/mvp-entropy","Entropy","MVP","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","3.9/3/0/3","(44 Reviews)","4.61"
"1715301301-9","https://infinitediscs.com/brand/mvp","Atom","https://infinitediscs.com/mvp-atom","Atom","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","2.7/3.1/-0.2/0.8","(85 Reviews)","4.66"
"1715301308-10","https://infinitediscs.com/brand/mvp","Anode","https://infinitediscs.com/mvp-anode","Anode","MVP","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","3.0/3.0/0.0/0.5","2.9/3/0/0.4","(107 Reviews)","4.64"
