web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715301789-1","https://infinitediscs.com/brand/millennium","Omega SuperSoft","https://infinitediscs.com/millennium-omega-supersoft","Omega SuperSoft","Millennium","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/-1.0/1.0","2/3/-0.9/1","(8 Reviews)","4.75"
"1715301793-2","https://infinitediscs.com/brand/millennium","Omega Driver","https://infinitediscs.com/millennium-omega-driver","Omega Driver","Millennium","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/2.0/0.0/2.0","3/2/0/1.9","(4 Reviews)","4.5"
"1715301797-3","https://infinitediscs.com/brand/millennium","Omega Big Bead","https://infinitediscs.com/millennium-omega-big-bead","Omega Big Bead","Millennium","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/-0.2/1","(2 Reviews)","5"
"1715301802-4","https://infinitediscs.com/brand/millennium","Omega AP Big Bead","https://infinitediscs.com/millennium-omega-ap-big-bead","Omega AP Big Bead","Millennium","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/0/1","(0 Reviews)","0"
"1715301806-5","https://infinitediscs.com/brand/millennium","Omega AP","https://infinitediscs.com/millennium-omega-ap","Omega AP","Millennium","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2.1/3/0/0.1","(4 Reviews)","4.25"
"1715301810-6","https://infinitediscs.com/brand/millennium","Omega 4","https://infinitediscs.com/millennium-omega-4","Omega 4","Millennium","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2.3/3/0/1","(10 Reviews)","4.75"
"1715301815-7","https://infinitediscs.com/brand/millennium","Omega","https://infinitediscs.com/millennium-omega","Omega","Millennium","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2/3/-0.4/0.4","(12 Reviews)","4.67"
"1715301819-8","https://infinitediscs.com/brand/millennium","Taurus","https://infinitediscs.com/millennium-taurus","Taurus","Millennium","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","4.0/4.0/0.0/4.0","4/4/-0.1/3.8","(6 Reviews)","4.67"
"1715301824-9","https://infinitediscs.com/brand/millennium","Solstice","https://infinitediscs.com/millennium-solstice","Solstice","Millennium","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Advanced","5.0/4.0/0.0/3.0","5/4/-0.2/2.7","(10 Reviews)","4.2"
"1715301828-10","https://infinitediscs.com/brand/millennium","Sentinel MF","https://infinitediscs.com/millennium-sentinel-mf","Sentinel MF","Millennium","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Everyone","5.0/4.0/0.0/4.0","5/4.1/0/4","(14 Reviews)","4.86"
