web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715302109-1","https://infinitediscs.com/brand/mint-discs","UFO","https://infinitediscs.com/mint-discs-ufo","UFO","Mint Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3/0/1","(2 Reviews)","4.5"
"1715302114-2","https://infinitediscs.com/brand/mint-discs","Salamander","https://infinitediscs.com/mint-discs-salamander","Salamander","Mint Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/0.0/2.0","3/4/0/2","(0 Reviews)","0"
"1715302118-3","https://infinitediscs.com/brand/mint-discs","Profit","https://infinitediscs.com/mint-discs-profit","Profit","Mint Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2.6/2.9/0/1.8","(16 Reviews)","4.69"
"1715302122-4","https://infinitediscs.com/brand/mint-discs","Lasso","https://infinitediscs.com/mint-discs-lasso","Lasso","Mint Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","3.1/3/0/2","(8 Reviews)","4.19"
"1715302126-5","https://infinitediscs.com/brand/mint-discs","Bullet","https://infinitediscs.com/mint-discs-bullet","Bullet","Mint Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2.2/3.6/0/1","(11 Reviews)","4.18"
"1715302130-6","https://infinitediscs.com/brand/mint-discs","Taco","https://infinitediscs.com/mint-discs-taco","Taco","Mint Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/2.0","5/5/0/2.1","(1 Reviews)","4"
"1715302134-7","https://infinitediscs.com/brand/mint-discs","Mustang","https://infinitediscs.com/mint-discs-mustang","Mustang","Mint Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/2.0","5/5/-0.2/1.7","(17 Reviews)","4.85"
"1715302139-8","https://infinitediscs.com/brand/mint-discs","Lobster","https://infinitediscs.com/mint-discs-lobster","Lobster","Mint Discs","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/5.0/-3.0/1.0","5/5.1/-2.9/1","(12 Reviews)","4.75"
"1715302143-9","https://infinitediscs.com/brand/mint-discs","Bobcat","https://infinitediscs.com/mint-discs-bobcat","Bobcat","Mint Discs","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Beginner, Intermediate","5.0/4.0/0.0/2.5","5/4.3/0/2.6","(26 Reviews)","4.69"
"1715302147-10","https://infinitediscs.com/brand/mint-discs","Phoenix","https://infinitediscs.com/mint-discs-phoenix","Phoenix","Mint Discs","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/3.0/0.0/4.0","9/3/0/4","(3 Reviews)","4.33"
"1715302154-11","https://infinitediscs.com/brand/mint-discs","Jackalope","https://infinitediscs.com/mint-discs-jackalop","Jackalope","Mint Discs","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Everyone","8.0/5.0/-2.0/1.0","8.1/5.1/-2.1/1","(9 Reviews)","4.67"
"1715302158-12","https://infinitediscs.com/brand/mint-discs","Grackle","https://infinitediscs.com/mint-discs-grackle","Grackle","Mint Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","7.0/5.0/-1.0/2.0","7.2/4.9/-0.9/2","(9 Reviews)","4.72"
"1715302167-13","https://infinitediscs.com/brand/mint-discs","Freetail","https://infinitediscs.com/mint-discs-freetail","Freetail","Mint Discs","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Everyone","10.0/5.0/-4.0/1.0","10/5/-3.7/1","(14 Reviews)","4.07"
"1715302171-14","https://infinitediscs.com/brand/mint-discs","Alpha","https://infinitediscs.com/mint-discs-alpha","Alpha","Mint Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","8.0/4.0/0.0/2.0","8.1/4.2/0/2","(34 Reviews)","4.76"
"1715302175-15","https://infinitediscs.com/brand/mint-discs","Longhorn","https://infinitediscs.com/mint-discs-longhorn","Longhorn","Mint Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","11.0/4.0/-1.0/2.5","11/4.1/-1/2.7","(11 Reviews)","4.64"
"1715302179-16","https://infinitediscs.com/brand/mint-discs","Goat","https://infinitediscs.com/mint-discs-goat-(aka-goat)","Goat","Mint Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/4.0/-1.0/3.0","11.9/4/-0.8/3.1","(7 Reviews)","4"
"1715302185-17","https://infinitediscs.com/brand/mint-discs","Diamondback","https://infinitediscs.com/mint-discs-diamondback","Diamondback","Mint Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level:","9.0/5.0/-2.0/2.0","9/4.9/-1.8/2","(2 Reviews)","3.5"
