web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715299907-1","https://infinitediscs.com/brand/prodigy","Px-3","https://infinitediscs.com/prodigy-px-3","Px-3","Prodigy","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/4.0/0.0/2.5","3.1/4/0/2.4","(7 Reviews)","4.57"
"1715299911-2","https://infinitediscs.com/brand/prodigy","PA-5","https://infinitediscs.com/prodigy-pa-5","PA-5","Prodigy","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","3.0/4.0/-2.0/0.5","3/4.1/-2/0.4","(16 Reviews)","4.97"
"1715299915-3","https://infinitediscs.com/brand/prodigy","PA-4","https://infinitediscs.com/prodigy-pa-4","PA-4","Prodigy","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner","3.0/3.0/-1.0/1.0","2.9/3.1/-0.9/0.9","(44 Reviews)","4.6"
"1715299921-4","https://infinitediscs.com/brand/prodigy","PA-3","https://infinitediscs.com/prodigy-pa-3","PA-3","Prodigy","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3.8/0/1.1","(84 Reviews)","4.74"
"1715299926-5","https://infinitediscs.com/brand/prodigy","PA-2","https://infinitediscs.com/prodigy-pa-2","PA-2","Prodigy","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3/0/1.2","(25 Reviews)","4.36"
"1715299931-6","https://infinitediscs.com/brand/prodigy","PA-1","https://infinitediscs.com/prodigy-pa-1","PA-1","Prodigy","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Advanced, Everyone","3.0/3.0/0.0/2.0","3/3/0/2","(44 Reviews)","4.66"
"1715299935-7","https://infinitediscs.com/brand/prodigy","P Model US","https://infinitediscs.com/prodigy-p-model-us","P Model US","Prodigy","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/5.0/-1.0/1.0","3/4.7/-0.8/1.1","(17 Reviews)","4.38"
"1715299940-8","https://infinitediscs.com/brand/prodigy","P Model S","https://infinitediscs.com/prodigy-p-model-s","P Model S","Prodigy","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/5.0/0.0/2.0","2.9/4.8/0/1.9","(35 Reviews)","4.63"
"1715299944-9","https://infinitediscs.com/brand/prodigy","P Model OS","https://infinitediscs.com/prodigy-p-model-os","P Model OS","Prodigy","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Everyone","3.0/4.0/0.0/3.0","3/4/-0.1/2.7","(3 Reviews)","3.17"
"1715299949-10","https://infinitediscs.com/brand/prodigy","Distortion","https://infinitediscs.com/prodigy-distortion","Distortion","Prodigy","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Advanced","4.0/3.0/0.0/3.0","4/3.1/-0.1/2.9","(7 Reviews)","4.79"
