web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715352924-1","https://infinitediscs.com/brand/streamline","Stabilizer","https://infinitediscs.com/streamline-stabilizer","Stabilizer","Streamline","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.5/0.0/3.0","3/3.8/0/2.9","(29 Reviews)","4.53"
"1715352928-2","https://infinitediscs.com/brand/streamline","Pilot","https://infinitediscs.com/streamline-pilot","Pilot","Streamline","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/5.0/0.0/1.0","2.1/4.9/-0.6/1","(93 Reviews)","4.82"
"1715352933-3","https://infinitediscs.com/brand/streamline","Parachute","https://infinitediscs.com/streamline-parachute","Parachute","Streamline","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Everyone","1.0/7.0/0.0/0.0","1/7/0/0","(0 Reviews)","0"
"1715352937-4","https://infinitediscs.com/brand/streamline","Runway","https://infinitediscs.com/streamline-runway","Runway","Streamline","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","5.0/4.0/0.0/3.5","5/3.9/0/3.4","(34 Reviews)","4.79"
"1715352941-5","https://infinitediscs.com/brand/streamline","Echo","https://infinitediscs.com/streamline-echo","Echo","Streamline","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level:","5.0/5.0/-1.5/1.0","5/4.9/-1.5/1","(5 Reviews)","5"
"1715352945-6","https://infinitediscs.com/brand/streamline","Drift","https://infinitediscs.com/streamline-drift","Drift","Streamline","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Everyone","7.0/5.0/-2.0/1.0","7/5.1/-1.8/1.1","(44 Reviews)","4.75"
"1715352949-7","https://infinitediscs.com/brand/streamline","Ascend","https://infinitediscs.com/streamline-ascend","Ascend","Streamline","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level:","6.0/5.0/-3.0/0.5","6/5.1/-2.8/0.7","(7 Reviews)","4.43"
"1715352954-8","https://infinitediscs.com/brand/streamline","Trace","https://infinitediscs.com/streamline-trace","Trace","Streamline","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Everyone","11.0/5.0/-1.0/2.0","11/5/-1/2","(87 Reviews)","4.78"
"1715352958-9","https://infinitediscs.com/brand/streamline","Shift","https://infinitediscs.com/streamline-shift","Shift","Streamline","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","11.0/5.0/-2.0/2.0","11/5/-2/2","(0 Reviews)","0"
"1715352963-10","https://infinitediscs.com/brand/streamline","Lift","https://infinitediscs.com/streamline-lift","Lift","Streamline","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","9.0/5.0/-2.0/1.5","9/5/-1.6/1.6","(29 Reviews)","4.62"
"1715352967-11","https://infinitediscs.com/brand/streamline","Jet","https://infinitediscs.com/streamline-jet","Jet","Streamline","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","11.0/5.0/-3.0/2.0","11/5.1/-2.8/1.9","(9 Reviews)","4.67"
"1715352971-12","https://infinitediscs.com/brand/streamline","Flare","https://infinitediscs.com/streamline-flare","Flare","Streamline","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/4.0/0.0/3.5","9/3.8/0/3.9","(31 Reviews)","4.56"
"1715352975-13","https://infinitediscs.com/brand/streamline","Engine","https://infinitediscs.com/streamline-engine","Engine","Streamline","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level:","1.0/1.0/0.0/0.0","1/1/0/0","(0 Reviews)","0"
