web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715302272-1","https://infinitediscs.com/brand/thought-space-athletics","Temple","https://infinitediscs.com/thought-space-athletics-temple","Temple","Thought Space Athletics","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","4/3/0/3","(18 Reviews)","4.42"
"1715302279-2","https://infinitediscs.com/brand/thought-space-athletics","Praxis","https://infinitediscs.com/thought-space-athletics-praxis","Praxis","Thought Space Athletics","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3.1/-0.1/0.9","(38 Reviews)","4.89"
"1715302283-3","https://infinitediscs.com/brand/thought-space-athletics","Pneuma","https://infinitediscs.com/thought-space-athletics-pneuma","Pneuma","Thought Space Athletics","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/3.0/0.0/0.0","2/3.2/0/0.1","(2 Reviews)","4.75"
"1715302287-4","https://infinitediscs.com/brand/thought-space-athletics","Muse","https://infinitediscs.com/thought-space-athletics-muse","Muse","Thought Space Athletics","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","3/3/0/1.9","(16 Reviews)","4.5"
"1715302291-5","https://infinitediscs.com/brand/thought-space-athletics","Alter","https://infinitediscs.com/thought-space-athletics-alter","Alter","Thought Space Athletics","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3/0/1","(5 Reviews)","4.4"
"1715302295-6","https://infinitediscs.com/brand/thought-space-athletics","Pathfinder","https://infinitediscs.com/thought-space-athletics-pathfinder","Pathfinder","Thought Space Athletics","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","5.0/5.0/0.0/1.0","5/5.1/-0.2/1","(45 Reviews)","4.87"
"1715302299-7","https://infinitediscs.com/brand/thought-space-athletics","Mana","https://infinitediscs.com/thought-space-athletics-mana","Mana","Thought Space Athletics","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Beginner, Everyone","5.0/5.0/-2.0/1.0","5.2/5.2/-2/1","(9 Reviews)","4.94"
"1715302303-8","https://infinitediscs.com/brand/thought-space-athletics","Crux","https://infinitediscs.com/thought-space-athletics-crux","Crux","Thought Space Athletics","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","5.0/4.0/0.0/2.0","5/4/0/2","(0 Reviews)","0"
"1715302308-9","https://infinitediscs.com/brand/thought-space-athletics","Votum","https://infinitediscs.com/thought-space-athletics-votum","Votum","Thought Space Athletics","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Everyone","7.0/5.0/0.0/3.0","7.5/4.9/-0.2/2.5","(36 Reviews)","4.49"
"1715302313-10","https://infinitediscs.com/brand/thought-space-athletics","Omen","https://infinitediscs.com/thought-space-athletics-omen","Omen","Thought Space Athletics","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/4.0/0.0/4.0","9/3.9/0/3.9","(25 Reviews)","4.3"
"1715302318-11","https://infinitediscs.com/brand/thought-space-athletics","Nuance","https://infinitediscs.com/thought-space-athletics-nuance","Nuance","Thought Space Athletics","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","?/?/?/?","?/?/?/?","(0 Reviews)","0"
"1715302323-12","https://infinitediscs.com/brand/thought-space-athletics","Mantra","https://infinitediscs.com/thought-space-athletics-mantra","Mantra","Thought Space Athletics","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner, Intermediate, Everyone","9.0/6.0/-2.0/1.0","9/5.9/-2.1/1","(63 Reviews)","4.86"
"1715302327-13","https://infinitediscs.com/brand/thought-space-athletics","Coalesce","https://infinitediscs.com/thought-space-athletics-coalesce","Coalesce","Thought Space Athletics","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/5.0/0.0/3.0","9/5/0/2.8","(4 Reviews)","5"
"1715302331-14","https://infinitediscs.com/brand/thought-space-athletics","Synapse","https://infinitediscs.com/thought-space-athletics-synapse","Synapse","Thought Space Athletics","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/0.0/3.0","12/4.7/-0.7/3","(25 Reviews)","4.16"
"1715302338-15","https://infinitediscs.com/brand/thought-space-athletics","Construct","https://infinitediscs.com/thought-space-athletics-construct","Construct","Thought Space Athletics","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Everyone","10.0/6.0/-1.0/2.0","10/5.6/-1.2/1.9","(17 Reviews)","4.62"
"1715302343-16","https://infinitediscs.com/brand/thought-space-athletics","Animus","https://infinitediscs.com/thought-space-athletics-animus","Animus","Thought Space Athletics","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","11.0/5.0/0.0/2.0","10.6/4.7/-0.6/2.2","(35 Reviews)","4.44"
