web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715302403-1","https://infinitediscs.com/brand/viking-discs","Rune","https://infinitediscs.com/viking-discs-rune","Rune","Viking Discs","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","2.0/4.0/0.0/0.0","2/4/-0.1/0.1","(50 Reviews)","4.78"
"1715302410-2","https://infinitediscs.com/brand/viking-discs","Knife","https://infinitediscs.com/viking-discs-knife","Knife","Viking Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/2.0","2.8/3.1/0/1.8","(22 Reviews)","4.61"
"1715302415-3","https://infinitediscs.com/brand/viking-discs","Nordic Warrior","https://infinitediscs.com/viking-discs-nordic-warrior","Nordic Warrior","Viking Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","4.0/4.0/0.0/2.0","4/4.1/-0.1/2","(15 Reviews)","4.57"
"1715302419-4","https://infinitediscs.com/brand/viking-discs","Loki","https://infinitediscs.com/viking-discs-loki","Loki","Viking Discs","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/2.0/0.0/4.0","4/2/0/4","(25 Reviews)","4.56"
"1715302423-5","https://infinitediscs.com/brand/viking-discs","Axe","https://infinitediscs.com/viking-discs-axe","Axe","Viking Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","4.0/3.0/0.0/1.0","4/3/-0.1/1.1","(17 Reviews)","4.47"
"1715302427-6","https://infinitediscs.com/brand/viking-discs","Cosmos","https://infinitediscs.com/viking-discs-cosmos","Cosmos","Viking Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/0.0/1.0","7/5.1/-0.6/1","(34 Reviews)","3.87"
"1715302431-7","https://infinitediscs.com/brand/viking-discs","Barbarian","https://infinitediscs.com/viking-discs-barbarian","Barbarian","Viking Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/0.0/2.0","7/4.8/0.1/2.1","(27 Reviews)","4.15"
"1715302435-8","https://infinitediscs.com/brand/viking-discs","Valhalla","https://infinitediscs.com/viking-discs-valhalla","Valhalla","Viking Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/0.0/2.0","12/4.9/0/2.1","(18 Reviews)","4.61"
"1715302439-9","https://infinitediscs.com/brand/viking-discs","Thunder God Thor","https://infinitediscs.com/viking-discs-thunder-god-thor","Thunder God Thor","Viking Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Advanced","14.0/5.0/0.0/2.0","13.9/4.9/0.1/2.5","(20 Reviews)","4.03"
"1715302444-10","https://infinitediscs.com/brand/viking-discs","Ragnarok","https://infinitediscs.com/viking-discs-ragnarok","Ragnarok","Viking Discs","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Everyone","11.0/5.0/-1.0/2.0","11.1/5.1/-1.1/1.9","(28 Reviews)","4.63"
"1715302448-11","https://infinitediscs.com/brand/viking-discs","Odin","https://infinitediscs.com/viking-discs-odin","Odin","Viking Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/-1.0/3.0","12/5/-1.2/2.9","(12 Reviews)","4.46"
"1715302453-12","https://infinitediscs.com/brand/viking-discs","Fenrir","https://infinitediscs.com/viking-discs-fenrir","Fenrir","Viking Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","10.0/4.0/0.0/3.0","9.9/4.3/-0.9/2.5","(16 Reviews)","4.06"
"1715302458-13","https://infinitediscs.com/brand/viking-discs","Berserker","https://infinitediscs.com/viking-discs-berserker","Berserker","Viking Discs","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Beginner","10.0/5.0/-3.0/2.0","9.9/5.1/-3.2/1.7","(23 Reviews)","4.26"
