web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715302489-1","https://infinitediscs.com/brand/westside","Swan 1 Reborn","https://infinitediscs.com/westside-swan-1-reborn","Swan 1 Reborn","Westside","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner","3.0/3.0/-2.5/0.0","2.9/3.1/-2.2/0.1","(36 Reviews)","4.29"
"1715302493-2","https://infinitediscs.com/brand/westside","Swan","https://infinitediscs.com/westside-swan","Swan","Westside","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","3.0/3.0/-1.0/0.0","2.9/2.9/-1.1/0","(35 Reviews)","4.63"
"1715302498-3","https://infinitediscs.com/brand/westside","Shield","https://infinitediscs.com/westside-shield","Shield","Westside","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/3.0/0.0/1.0","3/3/0/1","(51 Reviews)","4.47"
"1715302502-4","https://infinitediscs.com/brand/westside","Maiden","https://infinitediscs.com/westside-maiden","Maiden","Westside","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner, Everyone","3.0/4.0/0.0/1.0","3.1/3.9/-0.2/1","(70 Reviews)","4.74"
"1715302507-5","https://infinitediscs.com/brand/westside","Harp","https://infinitediscs.com/westside-harp","Harp","Westside","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Advanced","4.0/3.0/0.0/3.0","4/3/0/2.6","(195 Reviews)","4.71"
"1715302514-6","https://infinitediscs.com/brand/westside","Crown","https://infinitediscs.com/westside-crown","Crown","Westside","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/0.0/1.0","3/4/0/1","(38 Reviews)","4.66"
"1715302519-7","https://infinitediscs.com/brand/westside","Warship","https://infinitediscs.com/westside-warship","Warship","Westside","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/6.0/0.0/1.0","5.6/5.5/-0.2/1","(97 Reviews)","4.54"
"1715302530-8","https://infinitediscs.com/brand/westside","Tursas","https://infinitediscs.com/westside-tursas","Tursas","Westside","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Beginner, Everyone","5.0/5.0/-2.0/1.0","5/5.1/-2.4/0.9","(77 Reviews)","4.53"
"1715302535-9","https://infinitediscs.com/brand/westside","Sling","https://infinitediscs.com/westside-sling","Sling","Westside","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/1.0","4.6/4.9/-0.3/0.8","(23 Reviews)","4.52"
"1715302539-10","https://infinitediscs.com/brand/westside","Pine","https://infinitediscs.com/westside-pine","Pine","Westside","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/4.0/0.0/2.0","5/4.4/-0.1/2","(24 Reviews)","4.75"
"1715302543-11","https://infinitediscs.com/brand/westside","Gatekeeper","https://infinitediscs.com/westside-gatekeeper","Gatekeeper","Westside","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","4.0/5.0/0.0/2.0","4.1/5/-0.1/1.9","(30 Reviews)","4.7"
"1715302547-12","https://infinitediscs.com/brand/westside","Bard","https://infinitediscs.com/westside-bard","Bard","Westside","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","5.0/4.0/0.0/3.0","5/3.9/0/2.9","(41 Reviews)","4.59"
"1715302552-13","https://infinitediscs.com/brand/westside","Anvil","https://infinitediscs.com/westside-anvil","Anvil","Westside","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/2.0/0.0/4.0","4.1/2.2/0/4","(62 Reviews)","4.74"
"1715302560-14","https://infinitediscs.com/brand/westside","Underworld","https://infinitediscs.com/westside-underworld","Underworld","Westside","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner, Intermediate","7.0/6.0/-3.0/1.0","7/6/-2.9/1","(85 Reviews)","4.52"
"1715302564-15","https://infinitediscs.com/brand/westside","Stag","https://infinitediscs.com/westside-stag","Stag","Westside","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Everyone","8.0/6.0/-1.0/2.0","8/5.9/-1.1/2","(88 Reviews)","4.38"
"1715302568-16","https://infinitediscs.com/brand/westside","Seer","https://infinitediscs.com/westside-seer","Seer","Westside","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner","7.0/5.0/-2.0/1.0","7/5.1/-1.9/1.2","(32 Reviews)","4.41"
"1715302573-17","https://infinitediscs.com/brand/westside","Longbowman","https://infinitediscs.com/westside-longbowman","Longbowman","Westside","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate","9.0/4.0/0.0/3.0","8.7/4/0/2.9","(43 Reviews)","4.69"
"1715302578-18","https://infinitediscs.com/brand/westside","Hatchet","https://infinitediscs.com/westside-hatchet","Hatchet","Westside","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner, Everyone","9.0/6.0/-2.0/1.0","9/5.9/-2.2/1.3","(72 Reviews)","4.16"
"1715302582-19","https://infinitediscs.com/brand/westside","Fortress","https://infinitediscs.com/westside-fortress","Fortress","Westside","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","10.0/4.0/0.0/3.0","10/4/0/3","(34 Reviews)","4.62"
"1715302590-20","https://infinitediscs.com/brand/westside","Bear","https://infinitediscs.com/westside-bear","Bear","Westside","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","8.0/6.0/-0.5/2.5","8/6/-0.6/2.4","(9 Reviews)","4.67"
"1715302594-21","https://infinitediscs.com/brand/westside","Ahti","https://infinitediscs.com/westside-ahti","Ahti","Westside","Primary Use: Control Driver","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/3.0/0.0/4.0","9/3/0.1/4","(33 Reviews)","4.52"
"1715302598-22","https://infinitediscs.com/brand/westside","World","https://infinitediscs.com/westside-world","World","Westside","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","14.0/4.0/-0.5/3.0","13.9/4/-0.3/3.2","(51 Reviews)","4.2"
"1715302603-23","https://infinitediscs.com/brand/westside","War Horse","https://infinitediscs.com/westside-war-horse","War Horse","Westside","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","13.0/4.0/0.0/4.0","12.9/4/0/4","(28 Reviews)","4.39"
"1715302609-24","https://infinitediscs.com/brand/westside","Sword","https://infinitediscs.com/westside-sword","Sword","Westside","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/-0.5/2.0","11.9/5.1/-0.9/1.9","(96 Reviews)","4.47"
"1715302617-25","https://infinitediscs.com/brand/westside","Sorcerer","https://infinitediscs.com/westside-sorcerer","Sorcerer","Westside","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","13.0/5.0/-0.5/3.0","12.9/5.4/-0.8/2.4","(48 Reviews)","4.08"
"1715302621-26","https://infinitediscs.com/brand/westside","Sampo","https://infinitediscs.com/westside-sampo","Sampo","Westside","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","10.0/4.0/-1.0/2.0","9.9/4.6/-0.6/2.1","(30 Reviews)","3.57"
"1715302626-27","https://infinitediscs.com/brand/westside","Queen","https://infinitediscs.com/westside-queen","Queen","Westside","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","14.0/5.0/-3.0/2.0","13.7/5.1/-2.9/1.9","(28 Reviews)","4.05"
"1715302630-28","https://infinitediscs.com/brand/westside","Prince","https://infinitediscs.com/westside-prince","Prince","Westside","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","13.0/5.0/0.0/3.0","13/5/0/3","(0 Reviews)","0"
"1715302635-29","https://infinitediscs.com/brand/westside","Northman","https://infinitediscs.com/westside-northman","Northman","Westside","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate","10.0/5.0/-1.0/2.0","10/5/-1.1/1.8","(44 Reviews)","4.45"
"1715302640-30","https://infinitediscs.com/brand/westside","King","https://infinitediscs.com/westside-king","King","Westside","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate","14.0/5.0/-1.5/3.0","13.6/5.1/-2/2.7","(111 Reviews)","4.22"
"1715302648-31","https://infinitediscs.com/brand/westside","Giant","https://infinitediscs.com/westside-giant","Giant","Westside","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","13.0/4.0/0.0/3.5","12.8/4.5/0.1/3.5","(46 Reviews)","4.37"
"1715302653-32","https://infinitediscs.com/brand/westside","Destiny","https://infinitediscs.com/westside-destiny","Destiny","Westside","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","14.0/6.0/-2.0/3.0","13.7/5.9/-2.2/2.7","(76 Reviews)","4.74"
