web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715302700-1","https://infinitediscs.com/brand/yikun","Yi","https://infinitediscs.com/yikun-yi","Yi","Yikun","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level:","3.0/3.0/0.0/0.0","3/3.2/-0.1/0.1","(3 Reviews)","5"
"1715302705-2","https://infinitediscs.com/brand/yikun","Xing","https://infinitediscs.com/yikun-xing","Xing","Yikun","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2/3.9/0/1","(8 Reviews)","4.75"
"1715302709-3","https://infinitediscs.com/brand/yikun","Tian Shi","https://infinitediscs.com/yikun-tian-shi","Tian Shi","Yikun","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","4.0/3.0/0.0/3.0","4/3/0/3","(1 Reviews)","5"
"1715302713-4","https://infinitediscs.com/brand/yikun","Meteor Hammer","https://infinitediscs.com/yikun-meteor-hammer","Meteor Hammer","Yikun","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Beginner, Everyone","2.0/3.0/0.0/0.0","not","(5 Reviews)","4"
"1715302718-5","https://infinitediscs.com/brand/yikun","Ling","https://infinitediscs.com/yikun-ling","Ling","Yikun","Primary Use: Putt & Approach","Stability: Very Understable","Recommended Skill Level: Beginner","2.0/3.0/-3.0/1.0","2.1/3/-3/0.9","(3 Reviews)","4.5"
"1715302722-6","https://infinitediscs.com/brand/yikun","Hammer (Chui)","https://infinitediscs.com/yikun-hammer-(chui)","Hammer (Chui)","Yikun","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/2.5/0.0/3.0","2/2.7/0/2.8","(17 Reviews)","4.44"
"1715302727-7","https://infinitediscs.com/brand/yikun","Gui","https://infinitediscs.com/yikun-gui","Gui","Yikun","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Everyone","2.0/3.0/0.0/2.0","2.1/3.2/0/1.9","(16 Reviews)","4.53"
"1715302731-8","https://infinitediscs.com/brand/yikun","Fu Sang","https://infinitediscs.com/yikun-fu-sang","Fu Sang","Yikun","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/3.0","2/3.4/-0.1/2.6","(4 Reviews)","4.38"
"1715302735-9","https://infinitediscs.com/brand/yikun","Claws","https://infinitediscs.com/yikun-talon-(claws)","Claws","Yikun","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Beginner","1.0/2.0/0.0/0.0","1/2.1/0/0.1","(7 Reviews)","4.64"
"1715302739-10","https://infinitediscs.com/brand/yikun","Zheng","https://infinitediscs.com/yikun-zheng","Zheng","Yikun","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level:","5.0/5.0/0.0/2.0","5/5/0/2","(2 Reviews)","5"
"1715302743-11","https://infinitediscs.com/brand/yikun","Yao","https://infinitediscs.com/yikun-yao","Yao","Yikun","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/4.0/0.0/3.0","4.1/4/-0.1/2.8","(8 Reviews)","3.88"
"1715302748-12","https://infinitediscs.com/brand/yikun","Yan","https://infinitediscs.com/yikun-yan","Yan","Yikun","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Beginner, Everyone","3.0/6.0/0.0/0.0","3/6.1/-0.1/0","(12 Reviews)","4.08"
"1715302752-13","https://infinitediscs.com/brand/yikun","Wings","https://infinitediscs.com/yikun-wings","Wings","Yikun","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Beginner","3.0/3.0/0.0/2.0","3/2.9/0/1.9","(5 Reviews)","4.5"
"1715302757-14","https://infinitediscs.com/brand/yikun","Tomahawk","https://infinitediscs.com/yikun-tomahawk","Tomahawk","Yikun","Primary Use: Mid Range","Stability: Very Understable","Recommended Skill Level: Beginner","5.0/6.0/0.0/0.0","4.9/6/-0.8/0","(13 Reviews)","4.08"
"1715302761-15","https://infinitediscs.com/brand/yikun","Shu","https://infinitediscs.com/yikun-shu","Shu","Yikun","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Beginner, Intermediate","4.0/5.0/-2.0/1.0","4/5/-2.4/0.9","(8 Reviews)","4.25"
"1715302766-16","https://infinitediscs.com/brand/yikun","Kui","https://infinitediscs.com/yikun-kui","Kui","Yikun","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level: Everyone","5.0/5.0/0.0/2.5","5.3/4.9/-0.1/2.2","(10 Reviews)","4.5"
"1715302770-17","https://infinitediscs.com/brand/yikun","Kang","https://infinitediscs.com/yikun-kang","Kang","Yikun","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","3.0/5.0/-2.0/0.0","3.2/5.1/-2/0","(3 Reviews)","4.83"
"1715302774-18","https://infinitediscs.com/brand/yikun","Crossbow","https://infinitediscs.com/yikun-crossbow","Crossbow","Yikun","Primary Use: Mid Range","Stability: Very Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/1.5/0.5/4.0","4/1.7/0.6/4","(8 Reviews)","4.88"
"1715302778-19","https://infinitediscs.com/brand/yikun","Zhu","https://infinitediscs.com/yikun-zhu","Zhu","Yikun","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Everyone","7.0/5.0/0.0/2.0","7/5/-0.1/2","(4 Reviews)","4.38"
"1715302783-20","https://infinitediscs.com/brand/yikun","Xi He","https://infinitediscs.com/yikun-xi-he","Xi He","Yikun","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Beginner, Intermediate","9.0/5.0/-3.5/0.5","8.9/5.1/-3.5/0.5","(1 Reviews)","4"
